date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-02-20,74.1779,75.148,73.1992,73.4795,13387346,13387346,-0.766321,-1.032,73.8618,"Feb 20, 18",-0.10423516303201633
2018-02-21,73.5474,74.144,72.6259,72.6453,11714985,11714985,-0.834223,-1.135,73.3764,"Feb 21, 18",-0.11440462563041028
2018-02-22,73.043,74.5368,72.9314,73.5862,14020186,14020186,0.940925,1.295,73.8318,"Feb 22, 18",-0.10293441781594263
2018-02-23,73.8093,75.2935,73.6735,75.2062,13378795,13378795,1.6199,2.201,74.7934,"Feb 23, 18",-0.08318552137696136
2018-02-26,75.4099,76.5642,75.2353,76.4769,16940419,16940419,1.2707,1.69,76.1954,"Feb 26, 18",-0.06769482834917509
2018-02-27,76.6321,77.476,75.1771,75.1771,14629517,14629517,-1.2998,-1.7,76.1249,"Feb 27, 18",-0.08354027007225417
2018-02-28,75.8173,75.9046,73.431,73.4698,17087816,17087816,-1.7072,-2.271,74.2676,"Feb 28, 18",-0.10435341259711388
2018-03-01,73.2661,74.3824,72.6113,72.946,15696665,15696665,-0.523815,-0.713,73.263,"Mar 1, 18",-0.11073888911238464
2018-03-02,72.6453,73.5959,72.2476,73.2855,15630250,15630250,0.339509,0.465,72.8883,"Mar 2, 18",-0.10660015433396845
2018-03-05,72.9751,74.2652,72.8694,73.9839,14890975,14890975,0.69842,0.953,73.8706,"Mar 5, 18",-0.09808618564694084
2018-03-06,74.3719,74.6726,73.5872,73.8966,10754291,10754291,-0.087303,-0.118,74.0661,"Mar 6, 18",-0.09915043173281927
2018-03-07,72.752,72.9848,71.3552,72.0342,27255463,27255463,-1.8624,-2.52,71.9491,"Mar 7, 18",-0.12185434823155947
2018-03-08,72.267,72.5289,71.4813,71.8984,19299848,19299848,-0.135804,-0.189,71.9246,"Mar 8, 18",-0.12350984214292597
2018-03-09,72.5774,72.8102,71.9857,72.3252,19714061,19714061,0.426812,0.594,72.2899,"Mar 9, 18",-0.11830686127863137
2018-03-12,72.6259,73.3146,72.4513,72.9848,14226706,14226706,0.659617,0.912,72.9104,"Mar 12, 18",-0.1102658908519941
2018-03-13,73.0721,73.5474,72.0245,72.2961,13739675,13739675,-0.688718,-0.944,72.5564,"Mar 13, 18",-0.11866160997392418
2018-03-14,72.4028,72.5483,71.3261,71.394,14820676,14820676,-0.902125,-1.248,71.689,"Mar 14, 18",-0.1296588195280013
2018-03-15,72.1215,72.752,71.879,72.1894,15640605,15640605,0.795422,1.114,72.2485,"Mar 15, 18",-0.11996235518999769
2018-03-16,72.1312,72.8684,72.1312,72.8684,32109720,32109720,0.679018,0.941,72.6854,"Mar 16, 18",-0.11168488563316552
2018-03-19,72.752,72.7617,71.651,71.9275,12744781,12744781,-0.940926,-1.291,72.0303,"Mar 19, 18",-0.12315509344763316
2018-03-20,71.9954,72.461,71.7335,71.7723,13003183,13003183,-0.155204,-0.216,71.9191,"Mar 20, 18",-0.12504708648919474
